,Company,Location,Date,Rocket,Country
3996,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2017-08-22,Soyuz 2.1b/Fregat-M, Russia
3997,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2017-08-24,Falcon 9 Block 3, USA
3998,Northrop,"SLC-46, Cape Canaveral AFS, Florida, USA",2017-08-25,Minotaur IV, USA
3999,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2017-08-31,PSLV-XL, India
4000,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-09-07,Falcon 9 Block 4, USA
4001,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2017-09-11,Proton-M/Briz-M, Kazakhstan
4002,ULA,"SLC-3E, Vandenberg AFB, California, USA",2017-09-24,Atlas V 541, USA
4003,VKS RF,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2017-09-28,Proton-M/Briz-M, Kazakhstan
4004,CASC,"LC-3, Xichang Satellite Launch Center, China",2017-09-29,Long March 2C, China
4005,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2017-09-29,Ariane 5 ECA, France
4006,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2017-10-09,Long March 2D, China
4007,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2017-10-09,Falcon 9 Block 4, USA
4008,MHI,"LA-Y1, Tanegashima Space Center, Japan",2017-10-09,H-IIA 202, Japan
4009,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-10-11,Falcon 9 Block 3, USA
4010,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia",2017-10-13,Rokot/Briz KM, Russia
4011,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2017-10-14,Soyuz 2.1a, Kazakhstan
4012,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2017-10-15,Atlas V 421, USA
4013,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-10-30,Falcon 9 Block 4, USA
4014,Northrop,"SLC-576E, Vandenberg AFB, California, USA",2017-10-31,Minotaur C (Taurus), USA
4015,CASC,"LC-2, Xichang Satellite Launch Center, China",2017-11-05,Long March 3B/YZ-1, China
4016,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2017-11-08,Vega, France
4017,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2017-11-12,Antares 230, USA
4018,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2017-11-14,Long March 4C, China
4019,ULA,"SLC-2W, Vandenberg AFB, California, USA",2017-11-18,Delta II 7920-10C, USA
4020,CASC,"LC-16, Taiyuan Satellite Launch Center, China",2017-11-21,Long March 6, China
4021,CASC,"LC-3, Xichang Satellite Launch Center, China",2017-11-24,Long March 2C, China
4022,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2017-11-28,Soyuz 2.1b/Fregat-M, Russia
4023,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2017-12-02,Soyuz 2.1b, Russia
4024,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2017-12-03,Long March 2D, China
4025,CASC,"LC-2, Xichang Satellite Launch Center, China",2017-12-10,Long March 3B/E, China
4026,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2017-12-12,Ariane 5 ES, France
