Company,Rocket,count
VKS RF,Soyuz 2.1a/Fregat-M,4
VKS RF,Soyuz 2.1b,4
Virgin Orbit,LauncherOne,4
General Dynamics,Atlas-E/F SGS-2,4
MHI,N-I,4
Martin Marietta,Titan II(23)G,4
CASC,Long March 2C/YZ-1S,3
Arianespace,Ariane 5 G+,3
JAXA,Epsilon PBS,3
General Dynamics,Atlas-E/F MSD,3
IAI,Shavit,3
CASC,Long March 7,3
ISRO,PSLV-DL,3
CASC,Long March 11H,3
Boeing,Delta II 7425,3
General Dynamics,Atlas-D OV1,3
Lockheed,Athena I,3
CASC,Long March 5B,3
ISAS,Mu-IV S,3
CNES,Diamant BP4,3
General Dynamics,Atlas I,3
Lockheed,Titan IV(404)B,3
CASC,Long March 2F/T,3
Boeing,Delta IV Medium,3
Boeing,"Delta IV Medium+ (4,2)",3
CNES,Diamant B,3
CASC,Long March 5,3
CASC,Long March 2,3
RVSN USSR,Proton,3
ILS,Atlas V 401,3
RVSN USSR,Proton K,3
CASC,Long March 2C/E,3
US Air Force,Titan IIIA,3
Roscosmos,Soyuz 2.1b,3
Roscosmos,Zenit-3 SLBF,3
SpaceX,Falcon Heavy,3
VKS RF,Strela,3
RVSN USSR,Molniya-M /Block VL,3
ULA,"Delta IV Medium+ (5,2)",3
Rocket Lab,Electron/Photon,3
MHI,H-IIA 2022,3
Martin Marietta,Commercial Titan III,3
Martin Marietta,Titan IV(402)A,3
RVSN USSR,Soyuz L,3
Martin Marietta,Titan IV(401)A,3
Roscosmos,Soyuz 2.1b/Fregat-M,3
AMBA,Juno I,3
Armée de l'Air,Diamant A,3
Arianespace,Ariane 1,3
VKS RF,Soyuz 2.1a,3
Astra,Rocket 3,2
ISRO,PSLV-QL,2
CASC,Long March 4A,2
ISRO,SLV-3,2
Boeing,Delta II 6920-10,2
Martin Marietta,Titan-III(33)B Agena-D,2
Arianespace,Soyuz 2.1b/Fregat,2
Martin Marietta,Titan IV(403)A,2
Arianespace,Soyuz ST-B/Fregat-M,2
Arianespace,Soyuz ST-A/Fregat,2
Lockheed,Titan IV(404)A,2
US Navy,Vanguard,2
CASC,Long March 7A,2
SRC,Shtil',2
ULA,Atlas V 431,2
RVSN USSR,Vostok-2A,2
Northrop,Antares 120,2
Northrop,Antares 110,2
ISAS,Mu-III C,2
SpaceX,Falcon 1,2
ISAS,Mu-V / M-24,2
Boeing,Delta II 7326,2
ISRO,GSLV Mk I,2
Lockheed,Athena II,2
CASC,Long March 7/YZ-1A,2
Virgin Galactic,SpaceShipTwo,2
KCST,Unha-3,2
SpaceX,Starship Prototype,2
Lockheed,Atlas IIIB,2
General Dynamics,Atlas-LV3 Agena-A,2
CASIC,Kuaizhou 1,2
ASI,Scout D1,2
Boeing,Delta II 7925-8,2
RVSN USSR,Cosmos-3 (11K65),2
OKB-586,Cosmos-3 (11K65),2
ILS,Atlas IIIA,2
Galactic Energy,Ceres-1,2
ULA,Atlas V N22,2
ILS,Atlas V 521,2
Boeing,Delta II 7925H,2
CASC,Long March 1,2
RVSN USSR,Molniya-M /Block NVL,2
ILS,Atlas IIIB,2
IRGC,Qased,2
US Air Force,Scout X-3,2
RVSN USSR,Sputnik 8K71PS,2
Lockheed,Titan IV(403)A,2
MHI,N-I Star-37E,2
VKS RF,Angara 1.2,2
Boeing,Delta II 7925-10,2
RVSN USSR,Rokot/Briz K,2
ULA,Delta II 7920H-10C,2
US Air Force,Delta A,2
General Dynamics,Atlas-E/F OIS,2
RVSN USSR,Poliot,2
Roscosmos,Proton-M/DM-3,2
RVSN USSR,Energiya/Buran,1
Lockheed,Titan IV(405)A,1
MHI,H-II (2 SSB),1
ILS,Atlas V 411,1
NASA,Ares 1-X,1
CASC,Long March 5/YZ-2,1
ESA,Ariane 44LP,1
CASC,Long March 6A,1
Roscosmos,Zenit-2 FG,1
CASC,Long March 8,1
Lockheed,Titan IV(403)B,1
KARI,Naro-1,1
AMBA,Redstone Sparta,1
MHI,N-II,1
Lockheed,Atlas-E/F Altair,1
Land Launch,Zenit-3 SLBF,1
Khrunichev,Angara A5/Briz-M,1
KARI,KSLV-2,1
JAXA,SS-520,1
JAXA,H-IIA 202,1
Martin Marietta,Titan IV(404)A,1
Martin Marietta,Titan IV(405)A,1
IAI,Shavit-1,1
Roscosmos,Soyuz 2.1v,1
CASC,Long March 8 (Core Only),1
ESA,Vega C,1
CASIC,Kaituozhe 2,1
Roscosmos,Soyuz 2.1a/Volga,1
NASA,Scout X-1,1
General Dynamics,Atlas-SLV3B Agena-D,1
General Dynamics,Atlas-SLV3 Agena-B,1
General Dynamics,Atlas-LV3C Centaur-B,1
General Dynamics,Atlas-E/F PTS,1
General Dynamics,Atlas-E/F Burner,1
RVSN USSR,Proton K/Block-DM,1
General Dynamics,Atlas-E/F Agena D,1
